date,shap_COHERENCE,shap_COVERAGE,shap_INTERACTION,shap_M1,shap_M2,shap_M3,shap_M4,shap_M5,shap_expected_value,dynamic_weight_COHERENCE,dynamic_weight_COVERAGE,dynamic_weight_INTERACTION,dynamic_weight_M1,dynamic_weight_M2,dynamic_weight_M3,dynamic_weight_M4,dynamic_weight_M5
2016-01-13,-15.813942745802295,0.0,-2.2049331354835293,-0.028789969735843232,-4.080133857948465,-4.1543246685725395,-0.09330205764118112,1.2706024829293887,70.98058344379619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-14,-15.813942745802295,0.0,-2.2049331354835293,-0.028789969735843232,-4.080133857948465,-4.1543246685725395,-0.09330205764118112,1.2706024829293887,70.98058344379619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-15,-15.813942745802295,0.0,-2.2049331354835293,-0.028789969735843232,-4.080133857948465,-4.1543246685725395,-0.09330205764118112,1.2706024829293887,70.98058344379619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-16,-15.813942745802295,0.0,-2.2049331354835293,-0.028789969735843232,-4.080133857948465,-4.1543246685725395,-0.09330205764118112,1.2706024829293887,70.98058344379619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-17,-15.813942745802295,0.0,-2.2049331354835293,-0.028789969735843232,-4.080133857948465,-4.1543246685725395,-0.09330205764118112,1.2706024829293887,70.98058344379619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-18,-15.813942745802295,0.0,-2.2049331354835293,-0.028789969735843232,-4.080133857948465,-4.1543246685725395,-0.09330205764118112,1.2706024829293887,70.98058344379619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-19,-15.813942745802295,0.0,-2.2049331354835293,-0.028789969735843232,-4.080133857948465,-4.1543246685725395,-0.09330205764118112,1.2706024829293887,70.98058344379619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-20,-15.813942745802295,0.0,-2.2049331354835293,-0.028789969735843232,-4.080133857948465,-4.1543246685725395,-0.09330205764118112,1.2706024829293887,70.98058344379619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-21,-15.813942745802295,0.0,-2.2049331354835293,-0.028789969735843232,-4.080133857948465,-4.1543246685725395,-0.09330205764118112,1.2706024829293887,70.98058344379619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-22,-15.813942745802295,0.0,-2.2049331354835293,-0.028789969735843232,-4.080133857948465,-4.1543246685725395,-0.09330205764118112,1.2706024829293887,70.98058344379619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-23,-15.813942745802295,0.0,-2.2049331354835293,-0.028789969735843232,-4.080133857948465,-4.1543246685725395,-0.09330205764118112,1.2706024829293887,70.98058344379619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-24,-15.813942745802295,0.0,-2.2049331354835293,-0.028789969735843232,-4.080133857948465,-4.1543246685725395,-0.09330205764118112,1.2706024829293887,70.98058344379619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-25,-15.813942745802295,0.0,-2.2049331354835293,-0.028789969735843232,-4.080133857948465,-4.1543246685725395,-0.09330205764118112,1.2706024829293887,70.98058344379619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-26,-15.813942745802295,0.0,-2.2049331354835293,-0.028789969735843232,-4.080133857948465,-4.1543246685725395,-0.09330205764118112,1.2706024829293887,70.98058344379619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-27,-14.502810410197824,0.0,-2.1271051685745994,-0.028789969735843232,-4.080133857948465,-4.1543246685725395,-0.09330205764118112,1.253993135560945,70.98058344379619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-28,-14.502810410197824,0.0,-2.1271051685745994,-0.028789969735843232,-4.080133857948465,-4.1543246685725395,-0.09330205764118112,1.253993135560945,70.98058344379619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-29,-14.502810410197824,0.0,-2.1271051685745994,-0.028789969735843232,-4.080133857948465,-4.1543246685725395,-0.09330205764118112,1.253993135560945,70.98058344379619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-30,-14.502810410197824,0.0,-2.1271051685745994,-0.028789969735843232,-4.080133857948465,-4.1543246685725395,-0.09330205764118112,1.253993135560945,70.98058344379619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-31,-14.550689422271919,0.0,-2.1271051685745994,-0.028789969735843232,-4.080133857948465,-4.081511823258689,-0.0011566242941784544,1.253993135560945,70.98058344379619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-02-01,-21.518846111300334,0.0,-2.4928786424907323,-0.05142524113412751,-4.0384378743635425,-4.4645108414882575,0.2393509124857156,-1.2255436687513996,70.98058344379619,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
