module,global_importance,global_importance_share
COHERENCE,75.60098459653692,0.7560098459653695
M3,8.685979740500153,0.08685979740500158
M2,6.800245251115757,0.0680024525111576
INTERACTION,3.8224199781066486,0.038224199781066504
M5,3.632257095968869,0.0363225709596887
M1,1.1121833860829393,0.011121833860829398
M4,0.3459299516886605,0.0034592995168866063
COVERAGE,0.0,0.0
