episode,start,end,n_days,mean_lsi,max_lsi,share_red,verdict
feb_mar_2022,2022-02-01,2022-04-30,89,64.13,87.55,0.382,OK_red_reached
aug_2023,2023-08-01,2023-09-30,61,64.35,71.39,0.213,OK_red_reached
