date,full_model_valid,coverage_score,lsi,lsi_raw,lsi_smoothed,lsi_base,m4_multiplier,status,status_raw,target_stress,lsi_baseline_expected,contribution_M1,contribution_M2,contribution_M3,contribution_M4,contribution_M5,active_market_modules_count,crisis_window
2016-01-13,0,0.4167,,42.27173226315237,42.27173226315237,36.75802805491511,1.15,partial,yellow,33.333333333333336,54.70194798001061,-5.051114342375238,-21.23344261193458,-2.4527686056004776,5.5137042082372645,16.307109843052054,1,normal_or_unknown
2016-01-14,0,0.4167,,42.27173226315237,42.27173226315237,36.75802805491511,1.15,partial,yellow,33.333333333333336,54.70194798001061,-5.051114342375238,-21.23344261193458,-2.4527686056004776,5.5137042082372645,16.307109843052054,1,normal_or_unknown
2016-01-15,0,0.4167,,42.27173226315237,42.27173226315237,36.75802805491511,1.15,partial,yellow,33.333333333333336,54.70194798001061,-5.051114342375238,-21.23344261193458,-2.4527686056004776,5.5137042082372645,16.307109843052054,1,normal_or_unknown
2016-01-16,0,0.4167,,42.27173226315237,42.27173226315237,36.75802805491511,1.15,partial,yellow,33.333333333333336,54.70194798001061,-5.051114342375238,-21.23344261193458,-2.4527686056004776,5.5137042082372645,16.307109843052054,1,normal_or_unknown
2016-01-17,0,0.4167,,42.27173226315237,42.27173226315237,36.75802805491511,1.15,partial,yellow,33.333333333333336,54.70194798001061,-5.051114342375238,-21.23344261193458,-2.4527686056004776,5.5137042082372645,16.307109843052054,1,normal_or_unknown
2016-01-18,0,0.4167,,42.27173226315237,42.27173226315237,36.75802805491511,1.15,partial,yellow,33.333333333333336,54.70194798001061,-5.051114342375238,-21.23344261193458,-2.4527686056004776,5.5137042082372645,16.307109843052054,1,normal_or_unknown
2016-01-19,0,0.4167,,42.27173226315237,42.27173226315237,36.75802805491511,1.15,partial,yellow,33.333333333333336,54.70194798001061,-5.051114342375238,-21.23344261193458,-2.4527686056004776,5.5137042082372645,16.307109843052054,1,normal_or_unknown
2016-01-20,0,0.4167,,42.27173226315237,42.27173226315237,36.75802805491511,1.15,partial,yellow,33.333333333333336,54.70194798001061,-5.051114342375238,-21.23344261193458,-2.4527686056004776,5.5137042082372645,16.307109843052054,1,normal_or_unknown
2016-01-21,0,0.4167,,42.27173226315237,42.27173226315237,36.75802805491511,1.15,partial,yellow,33.333333333333336,54.70194798001061,-5.051114342375238,-21.23344261193458,-2.4527686056004776,5.5137042082372645,16.307109843052054,1,normal_or_unknown
2016-01-22,0,0.4167,,42.27173226315237,42.27173226315237,36.75802805491511,1.15,partial,yellow,33.333333333333336,54.70194798001061,-5.051114342375238,-21.23344261193458,-2.4527686056004776,5.5137042082372645,16.307109843052054,1,normal_or_unknown
2016-01-23,0,0.4167,,42.27173226315237,42.27173226315237,36.75802805491511,1.15,partial,yellow,33.333333333333336,54.70194798001061,-5.051114342375238,-21.23344261193458,-2.4527686056004776,5.5137042082372645,16.307109843052054,1,normal_or_unknown
2016-01-24,0,0.4167,,42.27173226315237,42.27173226315237,36.75802805491511,1.15,partial,yellow,33.333333333333336,54.70194798001061,-5.051114342375238,-21.23344261193458,-2.4527686056004776,5.5137042082372645,16.307109843052054,1,normal_or_unknown
2016-01-25,0,0.4167,,42.27173226315237,42.27173226315237,36.75802805491511,1.15,partial,yellow,33.333333333333336,54.70194798001061,-5.051114342375238,-21.23344261193458,-2.4527686056004776,5.5137042082372645,16.307109843052054,1,normal_or_unknown
2016-01-26,0,0.4167,,38.26364125710931,41.69831392024601,33.272731527921145,1.15,partial,green,33.333333333333336,54.70194798001061,-9.258223243960208,-20.994199812838744,-2.372230664847333,4.990909729188168,16.18634699874498,1,normal_or_unknown
2016-01-27,0,0.4167,,38.317579201027684,41.21878164572516,33.31963408785016,1.15,partial,green,33.333333333333336,54.70194798001061,-9.022268468909594,-21.03877434163434,-2.5391667050528297,4.997945113177522,16.215840736613824,1,normal_or_unknown
2016-01-28,0,0.4167,,38.317579201027684,40.80988232384954,33.31963408785016,1.15,partial,green,33.333333333333336,54.70194798001061,-9.022268468909594,-21.03877434163434,-2.5391667050528297,4.997945113177522,16.215840736613824,1,normal_or_unknown
2016-01-29,0,0.4167,,39.98356090542019,40.693969531208765,33.31963408785016,1.2,partial,green,33.333333333333336,57.080293544358895,-9.414541011036098,-21.953503660835835,-2.6495652574464312,6.6639268175700295,16.920877290379643,1,normal_or_unknown
2016-01-30,0,0.4167,,39.98356090542019,40.59466620637295,33.31963408785016,1.2,partial,green,33.333333333333336,57.080293544358895,-9.414541011036098,-21.953503660835835,-2.6495652574464312,6.6639268175700295,16.920877290379643,1,normal_or_unknown
2016-01-31,0,0.4167,,34.98561579224267,39.81265824628042,33.31963408785016,1.05,partial,green,33.333333333333336,49.945256851314035,-8.237723384656586,-19.209315703231358,-2.3183696002656276,1.6659817043925074,14.805767629082188,1,normal_or_unknown
2016-02-01,0,0.4167,,9.849490137435367,35.64331411462635,9.849490137435367,1.0,partial,green,0.0,47.56691128696575,-6.320962358507435,-20.04963283855769,-3.8277458220367286,0.0,-7.519080130428499,0,normal_or_unknown
2016-02-02,0,0.4167,,9.849490137435367,32.059291825071334,9.849490137435367,1.0,partial,green,0.0,47.56691128696575,-6.320962358507435,-20.04963283855769,-3.8277458220367286,0.0,-7.519080130428499,0,normal_or_unknown
2016-02-03,0,0.4167,,9.849490137435367,28.976561192480546,9.849490137435367,1.0,partial,green,0.0,47.56691128696575,-6.320962358507435,-20.04963283855769,-3.8277458220367286,0.0,-7.519080130428499,0,normal_or_unknown
2016-02-04,0,0.4167,,9.849490137435367,26.32382039046511,9.849490137435367,1.0,partial,green,0.0,47.56691128696575,-6.320962358507435,-20.04963283855769,-3.8277458220367286,0.0,-7.519080130428499,0,normal_or_unknown
2016-02-05,0,0.4167,,9.849490137435367,24.04033463775598,9.849490137435367,1.0,partial,green,0.0,47.56691128696575,-6.320962358507435,-20.04963283855769,-3.8277458220367286,0.0,-7.519080130428499,0,normal_or_unknown
2016-02-06,0,0.4167,,9.849490137435367,22.074219890017975,9.849490137435367,1.0,partial,green,0.0,47.56691128696575,-6.320962358507435,-20.04963283855769,-3.8277458220367286,0.0,-7.519080130428499,0,normal_or_unknown
2016-02-07,0,0.4167,,9.849490137435367,20.381056431422,9.849490137435367,1.0,partial,green,0.0,47.56691128696575,-6.320962358507435,-20.04963283855769,-3.8277458220367286,0.0,-7.519080130428499,0,normal_or_unknown
2016-02-08,0,0.4167,,9.849490137435367,18.922752973858767,9.849490137435367,1.0,partial,green,0.0,47.56691128696575,-6.320962358507435,-20.04963283855769,-3.8277458220367286,0.0,-7.519080130428499,0,normal_or_unknown
2016-02-09,0,0.4167,,9.849490137435367,17.666605250737952,9.849490137435367,1.0,partial,green,0.0,47.56691128696575,-6.320962358507435,-20.04963283855769,-3.8277458220367286,0.0,-7.519080130428499,0,normal_or_unknown
