Дата,Код выпуска,Тип бумаги,Дней до погашения,"Объем предложения, млн руб.","Цена отсечения, % от номинала","Цена средневзвешенная, % от номинала","Доходность по цене отсечения, % годовых","Доходность средневзвешенная, % годовых","Совокупный объем спроса по номиналу, млн руб.","Объем размещения по номиналу, млн руб.","Объем выручки, млн руб.",Коэффициент удовлетворения спроса,Cover ratio (спрос / размещение),Год источника,Формат
2016-05-11,26218RMFS,ОФЗ-ПД,5607,10000.0,97.67,97.6908,8.97,8.97,28948.095,10000.0,9850.5755,2.8948095,2.8948095,2016,
2016-05-11,26217RMFS,ОФЗ-ПД,1925,20000.0,94.2715,94.3583,9.08,9.05,43873.131,19999.998,19188.0530312,2.19365655,2.193656769365677,2016,
2016-05-18,26207RMFS,ОФЗ-ПД,3913,12765.576,96.25,96.4416,8.88,8.85,21911.473,12765.574,12570.71793647,1.716450005859509,1.7164502747780868,2016,
2016-05-18,24018RMFS,ОФЗ-ПК,588,12000.0,102.25,102.3209,10.68,10.63,17834.45,9373.882,10022.1729608,1.4862041666666668,1.902568220935574,2016,
2016-05-25,26218RMFS,ОФЗ-ПД,5593,10000.0,98.7111,98.7111,8.84,8.84,31772.239,10000.0,9985.21,3.1772239,3.1772239,2016,
2016-05-25,26217RMFS,ОФЗ-ПД,1911,10000.0,93.8575,93.961,9.19,9.17,10646.664,7080.97,6785.7658807,1.0646664,1.5035601054657766,2016,
2016-06-01,26218RMFS,ОФЗ-ПД,5586,15000.0,97.5,97.6846,8.99,8.97,10215.0,7465.0,7389.5026,0.681,1.3683858004018754,2016,
2016-06-01,29006RMFS,ОФЗ-ПК,3164,10000.0,105.55,105.6228,11.61,11.6,7900.0,4099.999999999999,4485.514,0.79,1.9268292682926833,2016,
2016-06-08,26217RMFS,ОФЗ-ПД,1897,10000.0,94.4,94.5002,9.06,9.03,39628.488,10000.0,9665.8157,3.9628488,3.9628488,2016,
2016-06-08,26218RMFS,ОФЗ-ПД,5579,17367.207000000002,99.4555,99.6243,8.75,8.72,30085.978,17367.206,17556.72596408,1.7323440666078314,1.732344166355832,2016,
2016-06-15,29011RMFS,ОФЗ-ПК,1323,10000.0,103.1602,103.2344,11.29,11.26,13349.059,6148.731,6618.21321513,1.3349059,2.171026672007606,2016,
2016-06-15,26217RMFS,ОФЗ-ПД,1890,15000.0,93.97,94.081,9.18,9.15,23403.861,15000.0,14457.4488,1.5602574,1.5602574,2016,
2016-06-22,26217RMFS,ОФЗ-ПД,1883,15000.0,95.3504,95.3736,8.82,8.81,33516.57199999999,15000.0,14672.786,2.2344381333333327,2.2344381333333327,2016,
2016-06-22,24018RMFS,ОФЗ-ПК,553,5000.0,101.905,101.9898,10.86,10.8,9537.0,5000.0,5386.69211,1.9074,1.9074,2016,
2016-06-29,26217RMFS,ОФЗ-ПД,1876,8152.995000000001,95.47,95.585,8.790000000000001,8.76,16135.708000000002,8152.995000000001,8004.122537050001,1.9791141782866295,1.9791141782866295,2016,
2016-06-29,26216RMFS,ОФЗ-ПД,1050,12435.822,94.205,94.2673,9.23,9.2,18313.494,12435.821,11818.792759450002,1.4726404092950187,1.4726405277142538,2016,
2016-07-06,26219RMFS,ОФЗ-ПД,3724,20000.0,95.5,95.6877,8.6,8.57,46477.118,19999.998,19167.33611602,2.3238559000000003,2.3238561323856133,2016,
2016-07-06,29006RMFS,ОФЗ-ПК,3129,10000.0,105.5,105.6039,11.62,11.6,6500.047,4510.045,4986.56971246,0.6500047,1.4412377260093856,2016,
2016-07-13,26218RMFS,ОФЗ-ПД,5544,15000.0,101.01,101.1351,8.55,8.540000000000001,25306.281,15000.0,15512.5663,1.6870854,1.6870854,2016,
2016-07-13,29011RMFS,ОФЗ-ПК,1295,10000.0,103.16,103.2656,11.28,11.24,17764.229,8028.229,8718.142111520001,1.7764229,2.212720763196964,2016,
2016-07-20,26217RMFS,ОФЗ-ПД,1855,15000.0,95.471,95.4922,8.799999999999999,8.799999999999999,49842.171,15000.0,14776.9857,3.3228114,3.3228114,2016,
2016-07-20,29006RMFS,ОФЗ-ПК,3115,10000.0,105.1944,105.3222,11.67,11.65,11780.0,10000.0,11075.62448,1.178,1.178,2016,
2016-07-27,29011RMFS,ОФЗ-ПК,1281,10000.0,102.76,102.9117,11.42,11.36,12873.019,9999.999,10870.27275298,1.2873019,1.2873020287302028,2016,
2016-07-27,26219RMFS,ОФЗ-ПД,3703,15000.0,94.55,94.5633,8.75,8.75,58063.512,15000.0,14273.59,3.8709008,3.8709008,2016,
2016-08-03,26218RMFS,ОФЗ-ПД,5523,10000.0,99.972,100.1127,8.68,8.66,18106.5,5740.0,5905.5259,1.81065,3.1544425087108015,2016,
2016-08-03,26217RMFS,ОФЗ-ПД,1841,20000.0,95.2,95.3989,8.88,8.83,21840.126,15719.972,15516.69740056,1.0920063,1.3893234669883636,2016,
2016-08-10,26219RMFS,ОФЗ-ПД,3689,15000.0,96.92,96.9604,8.37,8.37,58551.131,15000.0,14677.853,3.9034087333333334,3.9034087333333334,2016,
2016-08-10,29006RMFS,ОФЗ-ПК,3094,10000.0,104.0,104.098,11.47,11.45,9389.441,6239.437,6495.1312152,0.9389441,1.5048538834513436,2016,
2016-08-17,26219RMFS,ОФЗ-ПД,3682,10000.0,95.05,97.0526,8.35,8.35,31671.084,10000.0,9809.261,3.1671084,3.1671084,2016,
2016-08-17,29011RMFS,ОФЗ-ПК,1260,10000.0,102.2,102.3016,11.21,11.18,27811.111,9999.998,10275.05603302,2.7811111,2.7811116562223313,2016,
2016-08-24,26217RMFS,ОФЗ-ПД,1820,15000.0,95.86,95.9624,8.72,8.690000000000001,41135.637,14999.999,14394.36580575,2.7423758,2.742375982825066,2016,
2016-08-31,26218RMFS,ОФЗ-ПД,5495,15000.0,102.81499999999998,102.9332,8.34,8.32,35917.422,14999.997,15953.42614931,2.3944948,2.394495278899056,2016,
2016-09-07,26219RMFS,ОФЗ-ПД,3661,5000.0,98.91,99.006,8.07,8.05,14669.347,4999.999,5024.59779604,2.9338694,2.9338699867739972,2016,
2016-09-07,24018RMFS,ОФЗ-ПК,476,10667.496,102.05,102.125,10.08,10.02,33281.80299999999,10667.494,11131.10328924,3.11992645696797,3.119927041908811,2016,
2016-09-14,26217RMFS,ОФЗ-ПД,1799,5000.0,97.6,97.6178,8.260000000000002,8.260000000000002,21833.006,5000.0,4902.488,4.3666012,4.3666012,2016,
2016-09-14,29011RMFS,ОФЗ-ПК,1232,10000.0,103.2,103.245,10.82,10.8,47704.793,9999.997,10459.09686637,4.7704793,4.770480731144219,2016,
2016-09-21,29006RMFS,ОФЗ-ПК,3052,12000.0,105.46,105.5102,11.18,11.17,36958.632,11999.998,12825.50676242,3.0798859999999997,3.0798865133144187,2016,
2016-09-21,26218RMFS,ОФЗ-ПД,5474,6071.197,102.81,102.8628,8.34,8.33,29380.441,6071.195,6482.504727900001,4.839316036030456,4.839317630219422,2016,
2016-10-05,26217RMFS,ОФЗ-ПД,1778,10000.0,97.3011,97.3472,8.35,8.34,18441.396,9999.999,9821.01623136,1.8441396,1.8441397844139784,2016,
2016-10-12,29011RMFS,ОФЗ-ПК,1204,10000.0,102.855,102.9458,10.92,10.89,16301.9,9999.999,10518.98244135,1.63019,1.6301901630190163,2016,
2016-10-19,29006RMFS,ОФЗ-ПК,3024,10000.0,105.27,105.2934,11.21,11.21,33850.437,9999.999,10757.53892448,3.3850437,3.385044038504404,2016,
2016-10-26,26219RMFS,ОФЗ-ПД,3612,10000.0,96.26,96.5044,8.48,8.44,16655.916,10000.0,9709.84433648,1.6655916000000002,1.6655916000000002,2016,
2016-11-02,29006RMFS,ОФЗ-ПК,3010,10000.0,105.4996,105.607,11.16,11.14,28722.698,9999.998,10834.59843308,2.8722698,2.872270374454075,2016,
2016-11-09,26218RMFS,ОФЗ-ПД,5425,10000.0,100.36,100.5782,8.63,8.61,16199.826000000005,10000.0,10139.32435,1.6199826000000004,1.6199826000000004,2016,
2016-11-16,29006RMFS,ОФЗ-ПК,2996,10065.933,105.5563,105.6327,11.15,11.13,16813.396999999997,10065.93,10954.515817,1.6703267347398396,1.6703272325557597,2016,
2016-11-16,26216RMFS,ОФЗ-ПД,910,10000.0,95.56,95.5864,8.91,8.9,29622.59,9999.999,9558.6420444,2.962259,2.9622592962259295,2016,
2016-11-23,26217RMFS,ОФЗ-ПД,1729,20000.0,95.46,95.5596,8.870000000000001,8.85,35159.641,19999.998,19485.925999,1.75798205,1.7579822257982227,2016,
2016-11-23,29011RMFS,ОФЗ-ПК,1162,9518.484,103.11,103.1269,10.79,10.78,28240.434,9518.481,10157.82760029,2.9669046037163063,2.966905538814439,2016,
2016-11-30,29012RMFS,ОФЗ-ПК,2177,20000.0,99.8,100.0177,11.08,11.03,90277.238,9927.884,9929.640603519998,4.5138619,9.093301049851108,2016,
2016-11-30,26217RMFS,ОФЗ-ПД,1722,10000.0,95.111,95.2979,8.98,8.92,13249.281,10000.0,9731.1910585,1.3249281000000002,1.3249281000000002,2016,
2016-12-07,26219RMFS,ОФЗ-ПД,3570,20000.0,94.7601,94.8617,8.73,8.709999999999999,36205.549,20000.0,19269.54233,1.81027745,1.81027745,2016,
2016-12-07,24019RMFS,ОФЗ-ПК,1043,20000.0,100.511,100.6402,10.71,10.65,91077.029,19999.988,20168.83245191,4.55385145,4.5538541823125085,2016,
2016-12-14,29012RMFS,ОФЗ-ПК,2163,25000.0,101.4006,101.4804,10.69,10.67,81983.818,24999.994,25473.09006665,3.27935272,3.2793535070448416,2016,
2016-12-14,26218RMFS,ОФЗ-ПД,5390,20000.0,100.25,100.3547,8.649999999999999,8.63,45125.795,19999.998,20396.932527440003,2.25628975,2.256289975628998,2016,
2016-12-21,24019RMFS,ОФЗ-ПК,1029,25000.0,100.85,100.96,10.55,10.51,53875.88,24999.989,25392.976668,2.1550352,2.155036148215905,2016,
2016-12-21,26219RMFS,ОФЗ-ПД,3556,20000.0,95.3,95.4914,8.64,8.61,19902.593,12659.749,12314.69113371,0.99512965,1.5721159242572662,2016,
2016-12-28,26217RMFS,ОФЗ-ПД,1694,10000.0,97.5762,97.5762,8.3,8.3,33134.175,10000.0,10016.52,3.3134175000000003,3.3134175000000003,2016,
2016-12-28,29012RMFS,ОФЗ-ПК,2149,15000.0,102.17,102.2557,10.5,10.48,22656.965,8004.092,8250.593061709998,1.5104643333333334,2.8306727358955897,2016,
