type,term_days,date,time,volume_mln,rate_wavg,settlement,volume_bln
Репо,1,2010-03-09,11:30,11154.0,5.91,S0,11.154
Репо,7,2010-03-09,13:45,43715.2,5.92,S1,43.715199999999996
Репо,1,2010-03-09,16:00,288.5,5.94,S0,0.2885
Репо,1,2010-03-10,11:30,12816.0,5.91,S0,12.816
Репо,1,2010-03-10,16:00,0.0,0.0,S0,0.0
Репо,1,2010-03-11,16:00,63.5,5.86,S0,0.0635
Репо,1,2010-03-11,11:30,13045.4,5.92,S0,13.045399999999999
Репо,3,2010-03-12,11:30,8360.7,5.95,S0,8.360700000000001
Репо,3,2010-03-12,16:00,0.0,0.0,S0,0.0
Репо,1,2010-03-15,11:30,8633.1,5.94,S0,8.6331
Репо,182,2010-03-15,13:30,0.0,0.0,S2,0.0
Репо,1,2010-03-15,16:00,82.4,5.86,S0,0.0824
Репо,1,2010-03-16,16:00,1004.9,5.89,S0,1.0049
Репо,7,2010-03-16,13:30,31860.3,5.94,S1,31.8603
Репо,1,2010-03-16,11:30,6389.3,5.97,S0,6.3893
Репо,1,2010-03-17,11:30,4995.7,5.99,S0,4.9957
Репо,1,2010-03-17,16:00,4747.0,6.0,S0,4.747
Репо,1,2010-03-18,11:30,9448.5,6.0,S0,9.4485
Репо,1,2010-03-18,16:00,0.0,0.0,S0,0.0
Репо,3,2010-03-19,11:30,6392.3,5.98,S0,6.3923000000000005
Репо,3,2010-03-19,16:00,0.0,0.0,S0,0.0
Репо,1,2010-03-22,11:30,4416.5,5.94,S0,4.4165
Репо,91,2010-03-22,13:30,0.0,0.0,S2,0.0
Репо,1,2010-03-22,16:00,69.2,6.1,S0,0.0692
Репо,1,2010-03-23,11:30,5063.6,5.94,S0,5.0636
Репо,7,2010-03-23,13:30,28105.0,5.93,S1,28.105
Репо,1,2010-03-23,16:00,0.0,0.0,S0,0.0
Репо,1,2010-03-24,11:30,8232.7,5.94,S0,8.232700000000001
Репо,1,2010-03-24,16:00,0.0,0.0,S0,0.0
Репо,1,2010-03-25,16:00,0.0,0.0,S0,0.0
Репо,1,2010-03-25,11:30,6816.7,5.96,S0,6.8167
Репо,3,2010-03-26,11:30,7024.8,5.94,S0,7.0248
Репо,3,2010-03-26,16:00,0.0,0.0,S0,0.0
Репо,1,2010-03-29,11:30,6921.8,5.78,S0,6.9218
Репо,182,2010-03-29,13:30,0.0,0.0,S2,0.0
Репо,1,2010-03-29,16:00,541.2,5.67,S0,0.5412
Репо,1,2010-03-30,11:30,7431.6,5.75,S0,7.4316
Репо,7,2010-03-30,13:30,6748.0,5.76,S1,6.748
Репо,1,2010-03-30,16:00,840.8,5.52,S0,0.8408
Репо,1,2010-03-31,11:30,6388.2,5.72,S0,6.388199999999999
Репо,1,2010-03-31,16:00,524.8,5.55,S0,0.5247999999999999
Репо,1,2010-04-01,11:30,6580.7,5.69,S0,6.5807
Репо,1,2010-04-01,16:00,519.7,5.7,S0,0.5197
Репо,3,2010-04-02,11:30,6137.7,5.67,S0,6.1377
Репо,3,2010-04-02,16:00,0.0,0.0,S0,0.0
Репо,1,2010-04-05,11:30,6679.4,5.66,S0,6.679399999999999
Репо,91,2010-04-05,13:30,0.0,0.0,S2,0.0
Репо,1,2010-04-05,16:00,0.0,0.0,S0,0.0
Репо,1,2010-04-06,15:30,329.0,5.81,S0,0.329
Репо,1,2010-04-06,11:30,9659.8,5.7,S0,9.659799999999999
Репо,7,2010-04-06,13:30,4585.3,5.63,S1,4.5853
Репо,1,2010-04-07,16:00,0.0,0.0,S0,0.0
Репо,1,2010-04-07,11:30,9688.6,5.7,S0,9.688600000000001
Репо,1,2010-04-08,11:30,5703.5,5.69,S0,5.7035
Репо,1,2010-04-08,16:00,0.0,0.0,S0,0.0
Репо,3,2010-04-09,11:30,4337.0,5.7,S0,4.337
Репо,3,2010-04-09,16:00,261.7,5.57,S0,0.2617
Репо,1,2010-04-12,11:30,5370.1,5.7,S0,5.370100000000001
Репо,1,2010-04-12,15:30,0.0,0.0,S0,0.0
Репо,91,2010-04-12,13:30,0.0,0.0,S2,0.0
Репо,1,2010-04-13,11:30,6011.6,5.71,S0,6.0116000000000005
